站点名称,街道地址,城市,州,邮编,站点状态代码,公共可达性分组,开放时间说明,二级充电桩数量,直流快充数量,充电网络,纬度,经度,最近确认日期,开放日期,连接器类型,访问代码,受限访问,EV价格说明
CCOB-BROOMFIELD CCB-MIDDLE CHAR,1 Descombes Drive,Broomfield,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.919585,-105.069331,2026-07-08,2025-03-19,J1772,public,false,
CCOB-BROOMFIELD CCB-EAST CHARGE,1 Descombes Drive,Broomfield,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.919572,-105.069268,2026-07-08,2025-03-19,J1772,public,false,
OSYPKA MEDTEC STATION 1,1822 Skyway Drive,Longmont,CO,80504,E,Public,24 hours daily,1,,ChargePoint Network,40.157033,-105.020158,2026-07-08,2025-03-19,J1772,public,false,
HISTORYCO FT VASQUEZ WEST,13412 U.S. 85,Platteville,CO,80651,E,Public,24 hours daily,2,,ChargePoint Network,40.194091,-104.820928,2026-07-08,2025-03-19,J1772,public,false,
HISTORYCO FT VASQUEZ EAST,13412 U.S. 85,Platteville,CO,80651,E,Public,24 hours daily,2,,ChargePoint Network,40.194089,-104.82087,2026-07-08,2025-03-19,J1772,public,false,
LARIMERCOUNTY 200OAK-1,200 W Oak St,Fort Collins,CO,80521,E,Public,"Mon: 12:00am-11:59pm; Tue: 12:00am-11:59pm; Wed: 12:00am-11:59pm; Thu: 12:00am-11:59pm; Fri: 12:00am-11:59pm; Sat: 12:00am-5:00am, 2:00pm-11:59pm; Sun: 12:00am-11:59pm",,2,ChargePoint Network,40.586121,-105.079458,2026-07-08,2025-03-19,J1772COMBO,public,false,
CCD CHARGING DHA 1,4330 E 48th Ave,Denver,CO,80216,E,Public,24 hours daily,1,,ChargePoint Network,39.782754,-104.936681,2026-07-08,2025-03-20,J1772,public,false,
CCD CHARGING DHA 2,4330 E 48th Ave,Denver,CO,80216,E,Public,24 hours daily,1,,ChargePoint Network,39.782791,-104.936681,2026-07-08,2025-03-20,J1772,public,false,
AC DISTRICTATTY 6,1100 Judicial Center Drive,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.971772,-104.760191,2026-07-08,2025-03-21,J1772,public,false,
AC DISTRICTATTY 5,1100 Judicial Center Drive,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.971768,-104.760059,2026-07-08,2025-03-21,J1772,public,false,
AC JUDICIALCENTER7,1100 Judicial Center Drive,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.968947,-104.762086,2026-07-08,2025-03-22,J1772,public,false,
AC JUDICIALCENTER8,1100 Judicial Center Drive,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.968928,-104.762089,2026-07-08,2025-03-22,J1772,public,false,
AC JUDICIALCENTER9,1100 Judicial Center Dr,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.968982,-104.762145,2026-07-08,2025-03-22,J1772,public,false,
AC PUBLICWORKS1,4955 E 74th Ave,Commerce City,CO,80022,E,Public,24 hours daily,2,,ChargePoint Network,39.831371,-104.930787,2026-07-08,2025-03-25,J1772,public,false,
AC PUBLICWORKS2,4955 E 74th Ave,Commerce City,CO,80022,E,Public,24 hours daily,2,,ChargePoint Network,39.831322,-104.930733,2026-07-08,2025-03-25,J1772,public,false,
CORE SEDALIA LINCOLN CREEK,11733 Crestop Way,Parker,CO,80138,E,Public,24 hours daily,2,,ChargePoint Network,39.532474,-104.75863,2026-07-08,2025-03-25,J1772,public,false,
CENTENNIAL BAY EV PS 3-4,12484 East Weaver Place,Centennial,CO,80111,E,Public,24 hours daily,2,,ChargePoint Network,39.599035,-104.842706,2026-07-08,2025-03-27,J1772,public,false,
CENTENNIAL BAY EV PS 1-2,12484 East Weaver Place,Centennial,CO,80111,E,Public,24 hours daily,2,,ChargePoint Network,39.598994,-104.842668,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 1,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.923819,-105.116924,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 2,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.923839,-105.116924,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 3,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.923917,-105.116921,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX GARAGE,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.923776,-105.117146,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 6,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.92413,-105.116923,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 4,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.923979,-105.116922,2026-07-08,2025-03-27,J1772,public,false,
385 INTERLOCKEN APEX 5,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,1,,ChargePoint Network,39.924078,-105.116918,2026-07-08,2025-03-27,J1772,public,false,
DENVER WATER DW 1,1600 W 12th Ave,Denver,CO,80204,E,Public,24 hours daily,1,,ChargePoint Network,39.734468,-105.009571,2026-07-08,2025-03-28,J1772,public,false,
LARIMERCOUNTY FLEET-1,6994 Rickenbacker Road,Loveland,CO,80538,E,Public,Mon: 6:00am-5:00pm; Tue: 6:00am-5:00pm; Wed: 6:00am-5:00pm; Thu: 6:00am-5:00pm; Fri: 6:00am-5:00pm,2,,ChargePoint Network,40.461581,-105.00369,2026-07-08,2025-03-28,J1772,public,false,
LARIMERCOUNTY FLEET-2,6994 Rickenbacker Road,Loveland,CO,80538,E,Public,Mon: 6:00am-5:00pm; Tue: 6:00am-5:00pm; Wed: 6:00am-5:00pm; Thu: 6:00am-5:00pm; Fri: 6:00am-5:00pm,2,,ChargePoint Network,40.461595,-105.003655,2026-07-08,2025-03-28,J1772,public,false,
Dish Riverfront,5701 S Santa Fe Dr,Littleton,CO,80120,E,Private,24 hours daily,4,,Non-Networked,39.61196,-105.02286,2025-05-12,2025-02-17,J1772,private,,$2.00 per kWh
Pilot Travel Center 1110,15455 Terrazzo Drive,Monument,CO,80921,E,Public,24 hours daily,,4,eVgo Network,39.05569,-104.85352,2026-07-07,2025-04-01,J1772COMBO,public,false,
Blossom House,3300 West Nevada Place,Denver,CO,80219,E,Public,24 hours daily,4,,Blink Network,39.71019628903452,-105.03021061864428,2026-07-08,2025-04-05,J1772,public,false,
AC DISTRICTATTY 7,1100 Judicial Center Drive,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.971768,-104.760253,2026-07-08,2025-04-09,J1772,public,false,
PROCTOR COMP EV PS 2,10497 Centennial Road,Littleton,CO,80127,E,Public,24 hours daily,1,,ChargePoint Network,39.567826,-105.116385,2026-07-08,2025-04-09,J1772,public,false,
PROCTOR COMP EV PS 3,10497 Centennial Rd,Littleton,CO,80127,E,Public,24 hours daily,1,,ChargePoint Network,39.567798,-105.116357,2026-07-08,2025-04-09,J1772,public,false,
PROCTOR COMP EV PS 1,10497 Centennial Road,Littleton,CO,80127,E,Public,24 hours daily,1,,ChargePoint Network,39.567826,-105.116381,2026-07-08,2025-04-09,J1772,public,false,
PROCTOR COMP EV PS 4,10497 Centennial Road,Littleton,CO,80127,E,Public,24 hours daily,1,,ChargePoint Network,39.567782,-105.116377,2026-07-08,2025-04-09,J1772,public,false,
FRISCO 99 3RD AVE 4,99s 3rd Avenue,Frisco,CO,80443,E,Public,24 hours daily,2,,ChargePoint Network,39.574825,-106.098984,2026-07-08,2025-04-10,J1772,public,false,
FRISCO 99 3RD AVE 5,99s 3rd Avenue,Frisco,CO,80443,E,Public,24 hours daily,2,,ChargePoint Network,39.574788,-106.098959,2026-07-08,2025-04-10,J1772,public,false,
WOMENSBEAN WBP,1300 W Alameda Ave address,Denver,CO,80223,E,Public,24 hours daily,2,,ChargePoint Network,39.711047,-105.005481,2026-07-08,2025-04-15,J1772,public,false,
CHIPOTLE TOWER 01,5560 Tower Rd,Denver,CO,80249,E,Public,24 hours daily,,1,ChargePoint Network,39.797009,-104.771028,2026-07-08,2025-04-16,J1772COMBO TESLA,public,false,
CHIPOTLE TOWER 02,5560 Tower Rd,Denver,CO,80249,E,Public,24 hours daily,,1,ChargePoint Network,39.796908,-104.771016,2026-07-08,2025-04-16,J1772COMBO TESLA,public,false,
CHIPOTLE TOWER 03,5560 Tower Rd,Denver,CO,80249,E,Public,24 hours daily,,1,ChargePoint Network,39.796902,-104.771325,2026-07-08,2025-04-17,J1772COMBO TESLA,public,false,
CAPCO EV PS 1A,1328 Winters Avenue,Grand Junction,CO,81501,E,Public,24 hours daily,1,,ChargePoint Network,39.058547,-108.55089,2026-07-08,2025-04-18,J1772,public,false,
CAPCO EV PS 1B,1328 Winters Avenue,Grand Junction,CO,81501,E,Public,24 hours daily,1,,ChargePoint Network,39.058543,-108.550896,2026-07-08,2025-04-18,J1772,public,false,
CAPCO EV PS 2A,1328 Winters Avenue,Grand Junction,CO,81501,E,Public,24 hours daily,1,,ChargePoint Network,39.058542,-108.550853,2026-07-08,2025-04-18,J1772,public,false,
CAPCO EV PS 2B,1328 Winters Avenue,Grand Junction,CO,81501,E,Public,24 hours daily,1,,ChargePoint Network,39.058542,-108.550827,2026-07-08,2025-04-18,J1772,public,false,
7Charge - Denver 41337,501 S Federal Blvd,Denver,CO,80219,E,Public,24 hours daily,,2,7CHARGE,39.70732,-105.0255,2026-02-13,2025-02-19,J1772COMBO TESLA,public,false,Please download 7Charge app for current pricing.
7Charge - Denver 34741,7080 Tower Rd,Denver,CO,80249,E,Public,24 hours daily,,4,7CHARGE,39.82506,-104.77099,2026-02-13,2025-04-15,J1772COMBO TESLA,public,false,Please download 7Charge app for current pricing.
"Longmont, CO - Tesla Supercharger",700 Ken Pratt Blvd,Longmont,CO,80501,E,Public,24 hours daily. Open to all vehicles.,,12,Tesla,40.153157,-105.106909,2026-06-18,2025-01-29,J1772COMBO TESLA,public,false,
"Kit Carson, CO - Tesla Supercharger",202 Church St,Kit Carson,CO,80825,E,Public,24 hours daily. Open to all vehicles.,,8,Tesla,38.763963,-102.790932,2026-06-18,2025-02-19,J1772COMBO TESLA,public,false,
"Arvada, CO - Tesla Supercharger",7360 W 56th Ave,Arvada,CO,80002,E,Public,24 hours daily. NACS partner enabled.,,8,Tesla,39.797522,-105.07872,2026-06-18,2025-03-19,TESLA,public,false,
"Highlands Ranch, CO - Tesla Supercharger",1265 Sergeant Jon Stiles Dr,Highlands Ranch,CO,80129,E,Public,24 hours daily. Open to all vehicles.,,16,Tesla,39.548185,-105.005471,2026-06-18,2025-04-11,J1772COMBO TESLA,public,false,
WV ALAMEDA WV ALAM NORTH,1390 W Alameda Ave,Denver,CO,80223,E,Public,24 hours daily,2,,ChargePoint Network,39.71075,-105.005827,2026-07-08,2025-04-22,J1772,public,false,
WV ALAMEDA WV ALAM SOUTH,1363 W Nevada Pl,Denver,CO,80223,E,Public,24 hours daily,2,,ChargePoint Network,39.710646,-105.005551,2026-07-08,2025-04-22,J1772,public,false,
DURANGO 1785 3,1785 Nighthorse Cir,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.238384,-107.825822,2026-07-08,2025-04-23,J1772,public,false,
DURANGO 1785 4,1785 Nighthorse Circle,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.238373,-107.825833,2026-07-08,2025-04-23,J1772,public,false,
DURANGO 1785 1,1785 Nighthorse Circle,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.238297,-107.825972,2026-07-08,2025-04-23,J1772,public,false,
DURANGO 1785 2,1785 Nighthorse Circle,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.238312,-107.825955,2026-07-08,2025-04-23,J1772,public,false,
MCDONALD'S GRAND MARKET 01,1273 Grand Market Avenue,Berthoud,CO,80513,E,Public,24 hours daily,2,,ChargePoint Network,40.336926,-105.09497,2026-07-08,2025-04-23,J1772,public,false,
INFINITY PROP CT4000,3121 Wyandot St,Denver,CO,80211,E,Public,24 hours daily,2,,ChargePoint Network,39.761387,-105.014715,2026-07-08,2025-04-24,J1772,public,false,
Firestone Complete Auto Care - Diagonal Plaza - Series,3395 30th St,Boulder,CO,80301,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,Blink Network,40.036343,-105.254202,2026-07-08,2025-04-22,J1772,public,false,
BIODESIX EV PS 5,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.960035,-105.160996,2026-07-08,2025-04-25,J1772,public,false,
BIODESIX EV PS 4,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.960027,-105.160996,2026-07-08,2025-04-25,J1772,public,false,
BIODESIX EV PS 2,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.959994,-105.161038,2026-07-08,2025-04-25,J1772,public,false,
BIODESIX EV PS 1,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.959994,-105.161199,2026-07-08,2025-04-25,J1772,public,false,
BIODESIX EV PS 3,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.959969,-105.161038,2026-07-08,2025-04-25,J1772,public,false,
BIODESIX EV PS 6,919 W Dillon Rd,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.960027,-105.16099,2026-07-08,2025-04-25,J1772,public,false,
Starbucks Parking Lot,702 Horizon Drive,Grand Junction,CO,81506,E,Public,24 hours daily,4,,Blink Network,39.10580847964719,-108.54398791867355,2026-07-08,2025-04-25,J1772,public,false,
Travel Stop - Seibert,17507 CO-59,Seibert,CO,80834,E,Public,24 hours daily,,4,FCN,39.292279,-102.875371,2026-07-08,2025-04-26,J1772COMBO,public,false,
Courtyard Country Inn,410 Main Street,Westcliffe,CO,81252,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.1357401,-105.4655987,2026-07-08,2022-12-16,J1772,public,false,
Colorado Parks and Wildlife - Barr Lake State Park,13401 Picadilly Rd,Brighton,CO,80603,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.9380796,-104.751016,2026-07-08,2022-11-04,J1772,public,false,
John Martin Reservoir State Park,30703 County Road 24,Hasty,CO,81044,E,Public,24 hours daily,1,,RIVIAN_WAYPOINTS,38.0838214,-102.952563,2026-07-08,2022-11-02,J1772,public,false,
Cherry Creek State Park,4201 S Parker Rd,Aurora,CO,80014,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.646744,-104.8447344,2026-07-08,2024-12-12,J1772,public,false,
Chatfield State Park,GWV9+32,Littleton,CO,80125,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.543168,-105.084488,2026-07-08,2022-11-03,J1772,public,false,
6060 Broadway CPW Office,6060 Broadway,Denver,CO,80216,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.8069219,-104.9870102,2026-07-08,2023-11-21,J1772,public,false,
James M. Robb - Corn Lake,361 32 Rd,Clifton,CO,81520,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.0573518,-108.4601309,2026-07-08,2023-12-13,J1772,public,false,
Regional Office Building - Colorado Springs,4255 Sinton Road,Colorado Springs,CO,80907,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.8942238,-104.8300936,2026-07-08,2023-05-05,J1772,public,false,
"Salida, CO",232 G Street,Salida,CO,81201,E,Public,24 hours daily; for Rivian use only,,4,RIVIAN_ADVENTURE,38.5365568,-105.9945438,2026-07-08,2022-06-27,J1772COMBO,public,false,
Lake Pueblo State Park,Arkansas Point Rd,Pueblo,CO,81005,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.2511627,-104.735705,2026-07-08,2022-12-19,J1772,public,false,
Grand Junction Regional Office,711 Independent Avenue,Grand Junction,CO,81505,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.0806607,-108.5783342,2026-07-08,2023-12-23,J1772,public,false,
"Montrose, CO",3480 Wolverine Drive,Montrose,CO,81401,E,Public,24 hours daily,,6,RIVIAN_ADVENTURE,38.445275,-107.868748,2026-07-08,2022-12-18,J1772COMBO,public,false,
"Grand Junction, CO",2424 US Highway 6,Grand Junction,CO,81505,E,Public,24 hours daily,,6,RIVIAN_ADVENTURE,39.090546,-108.6040683,2026-07-08,2023-06-08,J1772COMBO,public,false,
Staunton State Park,12102 S. Elk Creek Road,Pine,CO,80470,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.4971786,-105.3818569,2026-07-08,2023-11-02,J1772,public,false,
The Matterhorn Motel,409 N Bluff Street,Lake City,CO,81235,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.0311662,-107.3175639,2026-07-08,2023-01-25,J1772,public,false,
Lake Fork Campground,92 US-50,Gunnison,CO,81230,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.454974,-107.322072,2026-07-08,2023-03-08,J1772,public,false,
James M. Robb - Colorado River State Park Fruita,595 Colorado 340,Fruita,CO,81521,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.1491032,-108.7412328,2026-07-08,2023-12-22,J1772,public,false,
"Montrose, CO - River Landing Shopping Center",3480 Wolverine Drive,Montrose,CO,81401,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.4453828,-107.8689291,2026-07-08,2022-12-19,J1772,public,false,
Highline Lake State Park,1800 11 8/10 Road,Loma,CO,81524,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.27100093464689,-108.836389,2026-07-08,2023-12-22,J1772,public,false,
"Anglers All, CO",5211 South Santa Fe Drive,Littleton,CO,80120,E,Public,24 hours daily,4,,RIVIAN_WAYPOINTS,39.6229003,-105.0156206,2026-07-08,2023-05-02,J1772,public,false,
"Del Norte, CO",1215 Grand Avenue,Del Norte,CO,81132,E,Public,24 hours daily,,6,RIVIAN_ADVENTURE,37.6773875,-106.3442069,2026-07-08,2024-12-11,J1772COMBO,public,false,
Mountain Lodge at Telluride,457 Mountain Village Boulevard,Telluride,CO,81435,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,37.93311,-107.85072,2026-07-08,2022-12-14,J1772,public,false,
North Sterling State Park,24005 Co Road 330,Sterling,CO,80751,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,40.7660709,-103.2713449,2026-07-08,2022-11-09,J1772,public,false,
Colorado Parks and Wildlife - Cheyenne Mountain Visitor Center,410 JL Ranch Heights Rd.,Colorado Springs,CO,80926,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.7349315,-104.8192457,2026-07-08,2022-03-14,J1772,public,false,
Castlewood Canyon State Park,2989 CO-83,Franktown,CO,80116,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,39.32964,-104.73837,2026-07-08,2022-11-03,J1772,public,false,
"Broomfield, CO",1 Flatiron Crossing,Broomfield,CO,80021,E,Public,24 hours daily,,6,RIVIAN_ADVENTURE,39.93457129943604,-105.13050144905556,2026-07-08,2023-05-20,J1772COMBO TESLA,public,false,
"Flagler, CO",17044 County Road 5,Flagler,CO,80815,E,Public,24 hours daily,,6,RIVIAN_ADVENTURE,39.2870126,-103.0610346,2026-07-08,2024-12-21,J1772COMBO,public,false,
Hunter Education Building - Colorado Springs,4255 Northpark Drive,Colorado Springs,CO,80907,E,Public,24 hours daily,2,,RIVIAN_WAYPOINTS,38.8941332,-104.8294344,2026-07-08,2022-11-01,J1772,public,false,
"Salida, CO - Monarch Spur Trail",232 G Street,Salida,CO,81201,E,Public,24 hours daily,4,,RIVIAN_WAYPOINTS,38.5364464,-105.994693,2026-07-08,2022-06-27,J1772,public,false,
"Town of Mt Crested Butte, TC-1 Lot",700 Gothic Rd,Crested Butte,CO,81225,E,Public,24 hours daily,3,,RIVIAN_WAYPOINTS,38.9033561,-106.9695231,2026-07-08,2022-08-17,J1772,public,false,
GPIF Riverview,1700 Platte Street,Denver,CO,80202,E,Public,24 hours daily,4,,Blink Network,39.758634,-105.0059349,2026-07-08,2018-10-08,J1772,public,false,
FRA GARAGE BS1 WEST LOT,12635 East Montview Boulevard,Aurora,CO,80045,E,Public,24 hours daily,2,,ChargePoint Network,39.747951,-104.841468,2026-07-08,2025-05-02,J1772,public,false,
FRA GARAGE GARAGE STATION,12600 East 22nd Avenue,Aurora,CO,80045,E,Public,24 hours daily,2,,ChargePoint Network,39.748612,-104.841194,2026-07-08,2025-05-02,J1772,public,false,
WDN,10075 E 40th Ave,Denver,CO,80238,E,Private,,59,2,POWERFLEX,39.77498,-104.87369,2025-06-06,2025-04-11,J1772 J1772COMBO,private,,Free
HOSPITAL MERCY HEALTH 4,1010 Three Springs Boulevard,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.235095,-107.825701,2026-07-08,2025-05-07,J1772,public,false,
HOSPITAL MERCY HEALTH 3,1010 Three Springs Boulevard,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.235104,-107.825708,2026-07-08,2025-05-07,J1772,public,false,
HOSPITAL MERCY HEALTH 6,1010 Three Springs Boulevard,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.235043,-107.825654,2026-07-08,2025-05-07,J1772,public,false,
HOSPITAL MERCY HEALTH 5,1010 Three Springs Boulevard,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.235056,-107.825666,2026-07-08,2025-05-07,J1772,public,false,
Axis West Flats,1205 Benton St,Lakewood,CO,80214,E,Public,24 hours daily,4,,EVGATEWAY,39.7354,-105.05593,2026-07-08,2025-05-07,J1772,public,false,
Colorado State Land Board - Quebec,5975 Quebec st,Centennial,CO,80111,E,Public,24 hours daily,2,,EVGATEWAY,39.60848419008838,-104.90520969603905,2026-07-08,2025-05-07,J1772,public,false,
1212 Motor City Drive,1212 Motor City Drive,Colorado Springs,CO,80905,E,Public,24 hours daily,,2,EV Connect,38.817071,-104.834035,2026-07-07,2025-05-08,J1772COMBO,public,false,
Limon Location: Transwest Chrysler Dodge Jeep Ram Wagoneer,2720 6th St,Limon,CO,80828,T,TEMPORARILY UNAVAILABLE (Public),Mon: 7:00am-6:00pm; Tue: 7:00am-6:00pm; Wed: 7:00am-6:00pm; Thu: 7:00am-6:00pm; Fri: 7:00am-6:00pm; Sat: 7:00am-6:00pm,,2,EV Connect,39.27196,-103.713101,2026-07-07,2025-05-09,J1772COMBO,public,false,
City of Grand Junction - 1240 Gunnison,1240 Gunnison Ave,Grand Junction,CO,81501,E,Public,24 hours daily,4,,EVGATEWAY,39.074785418417314,-108.54932219780045,2026-07-08,2025-05-13,J1772,public,false,
PITKIN COUNTY PUB WORKS PL-1,76 Service Center Rd,Aspen,CO,81611,E,Public,24 hours daily,,2,ChargePoint Network,39.225411,-106.864362,2026-07-08,2025-05-15,J1772COMBO,public,false,
OPEN SPACE CROWN HILL,9357 West 26th Avenue,Wheat Ridge,CO,80033,E,Public,24 hours daily,2,,ChargePoint Network,39.755176,-105.102579,2026-07-08,2025-05-15,J1772,public,false,
MONARCH CASINO MBH EV A,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798097,-105.480688,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV B,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798082,-105.480652,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV C,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798071,-105.480683,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV D,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798068,-105.480603,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV E,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798079,-105.480583,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV F,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798061,-105.480565,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV H,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798241,-105.480646,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV I,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798241,-105.480679,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV J,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798224,-105.480593,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV K,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798245,-105.480608,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV L,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798196,-105.480592,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV G,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798588,-105.483516,2026-07-08,2025-05-20,J1772,public,false,
RMS EV 1,109 Lewies Ln,Carbondale,CO,81623,E,Public,24 hours daily,2,,ChargePoint Network,39.394924,-107.212482,2026-07-08,2025-05-20,J1772,public,false,
MONARCH CASINO MBH EV M,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798184,-105.480364,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV N,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798245,-105.480416,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV P,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798123,-105.48038,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV Q,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798098,-105.480401,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV O,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798605,-105.483515,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV R,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798073,-105.480527,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV ADA BB,488 Main St,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798592,-105.483461,2026-07-08,2025-05-21,J1772,public,false,
MONARCH CASINO MBH EV ADA AA,488 Main St.,Black Hawk,CO,80422,E,Public,24 hours daily,2,,ChargePoint Network,39.798258,-105.481525,2026-07-08,2025-05-21,J1772,public,false,
385 INTERLOCKEN APEX 7,385 Interlocken Crescent,Broomfield,CO,80021,E,Public,24 hours daily,2,,ChargePoint Network,39.924138,-105.116927,2026-07-08,2025-05-30,J1772,public,false,
"CircleK - Monument, CO",1190 W Baptist Rd,Monument,CO,80132,E,Public,24 hours daily,,3,CIRCLE_K,39.05703,-104.84432,2025-08-12,2025-03-19,J1772COMBO,public,false,
